years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,top_20_hit_song_#_wks_on_chart_any_position,artist_genre_Blues,artist_genre_Classical,artist_genre_Country/Americana,artist_genre_Easy Listening/Vocal,artist_genre_Electronic/Dance,artist_genre_Experimental/Avant-Garde,artist_genre_Folk,artist_genre_Gospel/Christian/Religious,artist_genre_Hip Hop/Rap,artist_genre_Jazz,artist_genre_Latin,artist_genre_Metal,artist_genre_Pop,artist_genre_Punk/Hardcore,artist_genre_R&B/Soul/Funk,artist_genre_Reggae/Caribbean,artist_genre_Rock,artist_genre_World Music,artist_genre_unknown,#_of_genres_artist,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,top_20_hitmaker
1.0,1.0,20.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,0,3,2624.174428349609,0.0,5.3469409170926724e-08,1.0
1.0,1.0,43.0,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0,4,3931.4570346316978,4.1735949275077984e-05,0.000938648708692,0.0
1.0,3.0,35.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,3,4848.882864357552,0.0004840174118335,0.0211931656427841,1.0
1.0,3.0,20.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,2,2012.503679653703,0.0022701105186232,0.0022180668233177,0.0
1.0,4.0,50.0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0,3,3742.587770562472,0.0001062167924009,0.0010351677557222,1.0
1.0,2.0,12.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,3,0.0,0.0,0.0,1.0
1.0,1.0,31.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2,1.0,0.0,5.62913751758091e-166,0.0
1.0,1.0,24.0,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,0,6,2155.125396825476,0.0,0.0001492807629511,0.0
1.0,2.0,27.0,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,0,5,2775.4637445887115,1.0905530121128498e-06,0.0031802162026312,0.0
1.0,1.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
1.0,1.0,23.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2,4350.43499278481,0.000222326544022,0.0070254101181116,0.0
4.0,3.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.0,0.0,0.0,0.0
1.0,1.0,48.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,3,4156.485028860055,0.0026551541263387,0.0221827040454844,0.0
1.0,1.0,22.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,1883.504817404977,7.17931269139163e-05,4.785294163009872e-05,0.0
2.0,4.0,31.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,3708.7866883117263,0.0061672892180769,0.127018345851817,1.0
5.0,5.0,22.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,2,5377.386038960563,0.0056854827288188,0.0508482701845389,1.0
1.0,1.0,29.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,2,4312.174999999777,0.0003569636106815,0.0037710688736351,1.0
1.0,4.0,52.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,2,4750.4829725827085,0.0018798356625945,0.0126076275049787,1.0
1.0,1.0,26.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,1,1401.9182040182482,0.0004225515474324,5.831701055724516e-06,0.0
1.0,2.0,20.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,2,4321.085317460178,0.0001954868514792,0.0065188437184378,0.0
1.0,1.0,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,1,1886.1928682427117,0.0,6.963097075955556e-09,0.0
4.0,3.0,21.0,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,0,5,0.0,0.0,0.0,0.0
4.0,4.0,44.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,3,5274.8571428567475,0.0056905900695696,0.0411534819428446,1.0
1.0,2.0,33.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,0,3,2616.9386724386627,8.612961118658974e-05,0.0022794766726623,1.0
1.0,2.0,38.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0,4,2660.993759018737,0.0006767774380709,0.003647809879523,1.0
